index,winery,wine,year,rating,num_reviews,region,type,body,acidity,price
1,Teso La Monja,Tinto,2013,4.9,58,Toro,Toro Red,5,3,995
2,Artadi,Vina El Pison,2018,4.9,31,Vino de Espana,Tempranillo,4,2,313.5
3,Vega Sicilia,Unico,2009,4.8,1793,Ribera del Duero,Ribera Del Duero Red,5,3,324.95
4,Vega Sicilia,Unico,1999,4.8,1705,Ribera del Duero,Ribera Del Duero Red,5,3,692.96
5,Vega Sicilia,Unico,1996,4.8,1309,Ribera del Duero,Ribera Del Duero Red,5,3,778.06
6,Vega Sicilia,Unico,1998,4.8,1209,Ribera del Duero,Ribera Del Duero Red,5,3,490
7,Vega Sicilia,Unico,2010,4.8,1201,Ribera del Duero,Ribera Del Duero Red,5,3,349
8,Vega Sicilia,Unico,1995,4.8,926,Ribera del Duero,Ribera Del Duero Red,5,3,810.89
9,Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Ribera del Duero,Ribera Del Duero Red,5,3,345
10,Vega Sicilia,Unico,2011,4.8,630,Ribera del Duero,Ribera Del Duero Red,5,3,315
11,Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Ribera del Duero,Ribera Del Duero Red,5,3,514.85
12,Pago de Carraovejas,El Anejon,2016,4.8,454,Ribera del Duero,Ribera Del Duero Red,5,3,105.15
13,Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Ribera del Duero,Ribera Del Duero Red,5,3,430
14,Vega Sicilia,Unico,1970,4.8,417,Ribera del Duero,Ribera Del Duero Red,5,3,925
15,Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Montilla-Moriles,Pedro Ximenez,5,1,350
16,Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Ribera del Duero,Ribera Del Duero Red,5,3,166.18
17,Vega Sicilia,Unico,1962,4.8,295,Ribera del Duero,Ribera Del Duero Red,5,3,1620
18,Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,250,Ribera del Duero,Ribera Del Duero Red,5,3,431.36
19,Bodegas El Nido,El Nido,2018,4.8,217,Jumilla,Red,4,3,195.6273796
20,Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211,Ribera del Duero,Ribera Del Duero Red,5,3,824.43
21,Valdespino,Toneles Moscatel,N.V.,4.8,174,Jerez-Xeres-Sherry,Sherry,4,3,253
22,Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,172,Ribera del Duero,Ribera Del Duero Red,5,3,570.51
23,Dominio de Pingus,Pingus,2016,4.8,145,Ribera del Duero,Ribera Del Duero Red,5,3,1280
24,Toro Albala,Don PX Convento Seleccion,1931,4.8,139,Montilla-Moriles,Pedro Ximenez,5,1,244.85
25,Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,125,Ribera del Duero,Ribera Del Duero Red,5,3,719.34
26,Vega Sicilia,Unico,1979,4.8,118,Ribera del Duero,Ribera Del Duero Red,5,3,815
27,Toro Albala,Don PX Pedro Ximenez,1946,4.8,103,Montilla-Moriles,Pedro Ximenez,5,1,285.86
28,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,87,Priorato,Priorat Red,4,3,1410.26
29,Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,87,Ribera del Duero,Ribera Del Duero Red,5,3,813.96
30,Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,84,Ribera del Duero,Ribera Del Duero Red,5,3,435.75
31,Ordonez,Vatan Arena Tinta de Toro,2014,4.8,79,Toro,Toro Red,5,3,369.05
32,Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70,Ribera del Duero,Ribera Del Duero Red,5,3,1182.77
33,Toro Albala,Don PX Convento Seleccion,1929,4.8,69,Montilla-Moriles,Pedro Ximenez,5,1,227.95
34,Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,Ribera del Duero,Ribera Del Duero Red,5,3,999
35,Vina Sastre,Pesus Ribera del Duero,2007,4.8,68,Ribera del Duero,Ribera Del Duero Red,5,3,360
36,Teso La Monja,Tinto,2012,4.8,56,Toro,Toro Red,5,3,1190
37,Dominio de Pingus,Pingus,2017,4.8,52,Ribera del Duero,Ribera Del Duero Red,5,3,1150
38,Teso La Monja,Tinto,2009,4.8,50,Toro,Toro Red,5,3,950
39,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,40,Priorato,Priorat Red,4,3,1021.21
40,Sierra Cantabria,Magico,2016,4.8,40,Rioja,Rioja Red,4,3,544.5
41,Teso La Monja,Tinto,2011,4.8,32,Toro,Toro Red,5,3,1295
42,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,31,Priorato,Priorat Red,4,3,992.2
43,Teso La Monja,Tinto,2015,4.8,28,Toro,Toro Red,5,3,1289.44
44,Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,26,Bierzo,Red,4,3,1098.9
45,La Rioja Alta,Gran Reserva 890,1985,4.8,26,Rioja,Rioja Red,4,3,215.34
46,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,26,Priorato,Priorat Red,4,3,1094.9
47,Vega Sicilia,Unico Reserva Especial Edicion,,4.7,12421,Ribera del Duero,Ribera Del Duero Red,5,3,423.5
48,Vega Sicilia,Valbuena 5o,2010,4.7,5266,Ribera del Duero,Ribera Del Duero Red,5,3,239.5
49,Vega Sicilia,Valbuena 5o,2014,4.7,4350,Ribera del Duero,Ribera Del Duero Red,5,3,175.5
50,Vega Sicilia,Valbuena 5o,2006,4.7,3929,Ribera del Duero,Ribera Del Duero Red,5,3,194
51,Vega Sicilia,Unico,2005,4.7,3437,Ribera del Duero,Ribera Del Duero Red,5,3,381.15
